objectID;CAP;MUNICIPIO;ID_NIL;NIL;LONG_X_4326;LAT_Y_4326;Location
5407;20152;6;53;LORENTEGGIO;9.104075763359273;45.45100463400172;(45.45100463400172, 9.104075763359273)
4187;20151;8;65;Q.RE GALLARATESE - Q.RE SAN LEONARDO - LAMPUGNANO;9.105256719472628;45.504279305467456;(45.504279305467456, 9.105256719472628)
57;20151;7;88;PARCO BOSCO IN CITTA';9.10717081331941;45.48267991408669;(45.48267991408669, 9.10717081331941)
4177;20153;7;60;STADIO - IPPODROMI;9.118482572890422;45.475740896845565;(45.475740896845565, 9.118482572890422)
66;20147;6;53;LORENTEGGIO;9.121648321510166;45.45234123104463;(45.45234123104463, 9.121648321510166)
369;20147;6;49;GIAMBELLINO;9.129715509023097;45.44423593843171;(45.44423593843171, 9.129715509023097)
113;20147;6;53;LORENTEGGIO;9.130817266624764;45.45552751148572;(45.45552751148572, 9.130817266624764)
450;20146;6;52;BANDE NERE;9.138156332802376;45.45523660672675;(45.45523660672675, 9.138156332802376)
12686;20147;7;52;BANDE NERE;9.133141801683118;45.466087235927034;(45.466087235927034, 9.133141801683118)
43;20148;7;60;STADIO - IPPODROMI;9.133283749284725;45.475414826649924;(45.475414826649924, 9.133283749284725)
2562;20146;7;52;BANDE NERE;9.140327334233573;45.46096226712809;(45.46096226712809, 9.140327334233573)
28722;20146;7;52;BANDE NERE;9.141980171006503;45.46467204850078;(45.46467204850078, 9.141980171006503)
3423;20149;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.14590059900364;45.48730499557904;(45.48730499557904, 9.14590059900364)
3401;20157;8;76;QUARTO OGGIARO - VIALBA - MUSOCCO;9.145552011758435;45.507430333750456;(45.507430333750456, 9.145552011758435)
4239;20157;8;76;QUARTO OGGIARO - VIALBA - MUSOCCO;9.145240458614362;45.509731729126955;(45.509731729126955, 9.145240458614362)
48;20149;7;58;DE ANGELI - MONTE ROSA;9.146377948894685;45.47239971683803;(45.47239971683803, 9.146377948894685)
29122;20149;8;59;TRE TORRI;9.152237401097143;45.478996461567334;(45.478996461567334, 9.152237401097143)
480;20156;8;71;VILLAPIZZONE - CAGNOLA - BOLDINASCO;9.147962348238845;45.49926740695274;(45.49926740695274, 9.147962348238845)
10686;20157;8;76;QUARTO OGGIARO - VIALBA - MUSOCCO;9.148040890237953;45.50968274372764;(45.50968274372764, 9.148040890237953)
5829;20145;8;59;TRE TORRI;9.156695763879501;45.47717978828135;(45.47717978828135, 9.156695763879501)
136;20144;7;51;PORTA MAGENTA;9.159460948041055;45.46197661254748;(45.46197661254748, 9.159460948041055)
5406;20145;8;68;PAGANO;9.162014410516239;45.47106949978609;(45.47106949978609, 9.162014410516239)
43522;20145;8;68;PAGANO;9.164484678919784;45.48137308498615;(45.48137308498615, 9.164484678919784)
43520;20154;8;69;SARPI;9.16452541971316;45.48207041839878;(45.48207041839878, 9.16452541971316)
5842;20157;9;77;BOVISA;9.160020747079374;45.50854299110414;(45.50854299110414, 9.160020747079374)
4976;20143;6;44;PORTA TICINESE - CONCHETTA;9.171296056237694;45.44492434604768;(45.44492434604768, 9.171296056237694)
